RowId,Incidents
1,Medium
2,None
3,High
4,Low
5,None
6,High
7,Very_High
8,None
9,High
10,High
11,None
12,Very_High
13,High
14,Very_High
15,Low
16,None
17,Very_High
18,None
19,Low
20,None
21,None
22,Medium
23,None
24,Low
25,None
26,High
27,None
28,Medium
29,Medium
30,Very_High
31,None
32,None
33,Medium
34,None
35,Low
36,Low
37,Low
38,None
39,Very_High
40,None
41,None
42,None
43,Medium
44,Low
45,High
46,Low
47,None
48,Low
49,None
50,Medium
51,High
52,None
53,Very_High
54,None
55,None
56,High
57,None
58,Low
59,None
60,High
61,None
62,Low
63,None
64,Very_High
65,Low
66,Low
67,Very_High
68,None
69,Medium
70,None
71,None
72,None
73,High
74,Very_High
75,None
76,Medium
77,Medium
78,Very_High
79,Very_High
80,None
81,Low
82,None
83,Medium
84,High
85,Low
86,Medium
87,Very_High
88,High
89,None
90,Low
91,High
92,High
93,High
94,Low
95,Medium
96,Medium
97,High
98,None
99,High
100,High
101,Very_High
102,Very_High
103,None
104,None
105,None
106,None
107,Medium
108,Low
109,Low
110,Very_High
111,Very_High
112,Low
113,Medium
114,High
115,High
116,None
117,None
118,High
119,None
120,Low
121,High
122,High
123,None
124,None
125,Very_High
126,Very_High
127,Low
128,High
129,High
130,High
131,Very_High
132,High
133,Very_High
134,High
135,None
136,None
137,Low
138,Low
139,None
140,None
141,Medium
142,High
143,None
144,None
145,None
146,Medium
147,Low
148,Low
149,Low
150,Low
151,Medium
152,None
153,High
154,Very_High
155,High
156,Low
157,None
158,Very_High
159,None
160,None
161,None
162,Low
163,Medium
164,High
165,Low
166,None
167,None
168,None
169,None
170,None
171,None
172,Low
173,None
174,Very_High
175,None
176,Very_High
177,Low
178,None
179,None
180,Medium
181,None
182,Medium
183,Low
184,Medium
185,Low
186,Low
187,Very_High
188,High
189,Very_High
190,Low
191,None
192,None
193,None
194,Very_High
195,High
196,None
197,High
198,Very_High
199,Medium
200,High
201,Medium
202,High
203,Low
204,None
205,Low
206,None
207,High
208,Low
209,None
210,None
211,None
212,High
213,None
214,High
215,Very_High
216,Low
217,None
218,High
219,Low
220,None
221,High
222,Very_High
223,None
224,None
225,Medium
226,High
227,Medium
228,Low
229,None
230,High
231,Medium
232,None
233,Low
234,Medium
235,High
236,None
237,High
238,None
239,None
240,None
241,High
