Program, Language, PowerCap, ArraySize, Temp Before(ºC), PhysicalMemory, Package , Core(s) , GPU , Temp After(ºC) , Cost ($) , Time (msec)
heapsortSmall , c , 10, 0 , 54.00 , 960 , 0.030090 , 0.025146 , 0.000000 , 54.00 , 968 , 2799 
heapsortSmall , c , 10, 0 , 54.00 , 964 , 0.043701 , 0.038269 , 0.000000 , 54.00 , 968 , 4826 
heapsortSmall , c , 10, 0 , 54.00 , 960 , 0.015503 , 0.011353 , 0.000000 , 54.00 , 968 , 1796 
heapsortSmall , c , 10, 0 , 54.00 , 960 , 0.018860 , 0.016663 , 0.000000 , 54.00 , 968 , 2204 
heapsortSmall , c , 10, 0 , 54.00 , 960 , 0.015991 , 0.010071 , 0.000000 , 54.00 , 968 , 1802 
heapsortSmall , c , 10, 0 , 54.00 , 960 , 0.016968 , 0.013123 , 0.000000 , 54.00 , 968 , 1981 
heapsortSmall , c , 10, 0 , 55.00 , 956 , 0.011169 , 0.014099 , 0.000000 , 55.00 , 968 , 1405 
heapsortSmall , c , 10, 0 , 55.00 , 960 , 0.042236 , 0.028625 , 0.000000 , 55.00 , 968 , 2232 
heapsortSmall , c , 10, 0 , 55.00 , 964 , 0.016663 , 0.008484 , 0.000000 , 55.00 , 968 , 2153 
heapsortSmall , c , 10, 0 , 55.00 , 960 , 0.111084 , 0.100281 , 0.000000 , 55.00 , 968 , 12389 
heapsortSmall , c , 10, 0 , 55.00 , 960 , 0.011047 , 0.010376 , 0.000000 , 55.00 , 968 , 2237 
heapsortSmall , c , 10, 0 , 55.00 , 960 , 0.019897 , 0.015625 , 0.000000 , 55.00 , 968 , 1774 
heapsortSmall , c , 10, 0 , 53.00 , 960 , 0.027405 , 0.027588 , 0.000000 , 53.00 , 968 , 3112 
heapsortSmall , c , 10, 0 , 53.00 , 960 , 0.026611 , 0.023132 , 0.000000 , 53.00 , 968 , 2950 
heapsortSmall , c , 10, 0 , 53.00 , 964 , 0.010803 , 0.009277 , 0.000000 , 53.00 , 968 , 2221 
